drawNo,date,isSweepDay,d1st,d2nd,d3rd,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10
5361,03 Aug 2025,false,9427,8262,3945,0568,2391,3386,4282,5936,6002,7157,7381,7658,9549,1859,2489,3138,4521,6012,6322,7852,8818,9322,9922
5360,02 Aug 2025,false,0851,5584,5354,1387,1833,2069,2484,4408,5127,5543,6932,8432,9868,1632,3052,4003,5891,8192,8385,8695,9374,9738,9842
5359,30 Jul 2025,false,8115,8844,2176,0571,0732,1114,1429,3176,3494,4693,4881,5904,9541,1218,2000,2021,2127,3859,4337,6789,7345,9768,9927
5358,27 Jul 2025,false,7280,9668,8992,0500,0658,2001,3698,4256,4996,6484,7782,7823,8588,0467,0746,0926,2927,3345,4759,4787,5406,5789,9608
5357,26 Jul 2025,false,0873,5343,2004,0411,1127,1256,2973,3400,3938,5035,5304,6960,9032,0319,0367,0564,1681,2371,3314,3939,4379,8759,9722
5356,23 Jul 2025,false,9559,5843,3533,0508,0923,1089,1622,2111,5113,6289,6457,8286,9305,1042,1239,1747,2196,3953,4349,4405,4699,5178,8954
5355,20 Jul 2025,false,4600,2359,6795,0194,0982,1779,4984,5615,7429,7819,7866,9279,9812,1948,2685,2816,2946,3178,6360,8317,8404,9084,9827
5354,19 Jul 2025,false,4802,9613,1740,1772,3264,3693,4070,4535,4687,5080,6533,7867,9470,0486,1669,1792,3863,4662,6646,6825,8107,9045,9159
5353,16 Jul 2025,false,9362,3962,5195,0030,0756,1500,4291,5314,8054,8812,9425,9610,9751,0106,0416,0782,1599,2158,2186,3642,7105,9300,9618
5352,13 Jul 2025,false,8775,3270,4419,1192,1559,1589,2658,3519,5793,7315,8496,9504,9734,0129,0290,0589,1043,1428,4119,4702,4880,6716,7664
5351,12 Jul 2025,false,3064,3797,2089,0332,1204,1552,2289,2679,3072,5298,5415,6441,8817,1286,1336,1736,2099,3073,4534,4666,5621,5780,9000
5350,09 Jul 2025,false,0175,9164,8664,1089,1168,3705,5746,5770,6585,6789,8482,8576,8978,0237,1217,1392,2251,3378,4494,5330,6086,7325,8526
5349,06 Jul 2025,false,2472,8404,1960,1669,2248,2764,4106,4313,4431,4460,5098,6056,6572,0517,0914,1886,2393,2531,3815,4387,4450,7956,8494
5348,05 Jul 2025,false,0264,4893,0702,0168,0649,0927,2119,2512,3695,4468,5126,6647,8006,0042,0959,2075,2651,3112,4212,4496,6091,8179,9927
5347,02 Jul 2025,true,1924,5698,2569,0457,2345,6498,6525,6966,7313,7416,7808,9228,9618,1482,2140,2691,3510,4051,5076,5856,6412,6547,7916
5346,29 Jun 2025,false,7479,7565,6124,0960,1309,1537,3005,4461,5086,6018,6446,8224,9318,0506,0521,1226,4289,4898,4971,6076,8783,9323,9715
5345,28 Jun 2025,false,4747,1435,3464,0966,1025,2473,2516,3558,3630,3630,4251,7569,9430,0996,3472,3947,3966,4021,5167,6820,6965,8180,9830
5344,25 Jun 2025,false,6238,2608,9703,0210,1258,1861,2097,2684,3137,6017,6053,7217,8155,2387,2522,3897,4934,5180,7026,7077,8984,9140,9658
5343,22 Jun 2025,false,9729,1467,9183,2551,3233,4105,4137,4144,5534,6047,6838,8467,9948,0200,0223,0458,0861,2926,3354,4534,6296,6757,8188
5342,21 Jun 2025,false,4104,4778,8651,0695,0808,1616,4127,4518,8213,8363,8477,8594,9728,1644,1808,3127,3551,4060,4249,5017,5260,6093,9374
5341,18 Jun 2025,false,0536,5327,5985,0049,1637,2222,2957,3261,3421,5154,6240,6266,8371,0161,1507,2129,2449,3090,3195,6584,8161,8778,9343
5340,15 Jun 2025,false,5891,2737,0222,0368,0544,1719,2585,2968,4745,5679,6552,7675,8989,1279,2126,2282,2437,2932,6682,8512,8920,9235,9908
5339,14 Jun 2025,false,8327,8441,4425,0237,1671,4542,6190,6486,6581,7129,7141,7402,8822,1194,1222,1288,2062,3023,6056,6746,7285,7439,7824
5338,11 Jun 2025,false,8184,7970,3662,0259,0685,3716,3718,4664,4793,6608,8493,8648,8923,1112,3703,3869,4747,5009,6091,6439,6775,7351,8537
5337,08 Jun 2025,false,3805,2672,3603,1042,4831,5432,6737,7348,8545,8574,9055,9133,9849,0489,1490,2385,2847,5281,5628,7414,7867,8259,9704
5336,07 Jun 2025,false,4520,7045,6134,3620,3724,4373,4423,5127,5400,5748,6003,9126,9328,1057,4657,4679,4848,6246,6567,7124,7830,8106,9237
5335,04 Jun 2025,true,7634,2612,7868,0535,1262,1464,1488,2183,2263,2355,4247,5392,9389,1021,1291,2766,4032,6158,6375,7171,7505,8508,9117
5334,01 Jun 2025,false,5259,5136,5118,0649,1346,1349,1985,3147,3223,5104,5701,6677,9489,0591,1286,2946,5754,5934,7704,8694,8915,9209,9869
5333,31 May 2025,false,9304,7436,7149,0104,0820,0952,1698,3616,4289,5806,6136,6701,7891,0403,0917,1204,1641,2806,2958,4234,4432,7493,9554
5332,28 May 2025,false,9617,4861,5198,0888,2651,3097,3958,4798,5039,5264,5784,8505,8655,0181,0278,1674,1705,4101,4476,4515,4728,7355,7961
5331,25 May 2025,false,0825,3791,1184,0635,1254,4020,4236,5050,5548,6950,7990,8879,9053,1084,1266,2939,3261,3737,4940,5176,6681,7322,9583
5330,24 May 2025,false,1766,5173,4804,0043,0341,1718,5126,5234,6110,6126,8856,8977,9065,0255,1439,1897,2807,3867,5569,6549,6829,6953,6961
5329,21 May 2025,false,3576,0530,6672,1109,1470,3009,3623,5062,5750,6285,7090,7305,7387,1835,2439,2725,3221,3317,3990,5741,5914,7870,9119
5328,18 May 2025,false,0665,0803,4878,0872,1490,2504,3415,4343,4684,5732,8049,8350,9467,0940,2509,2954,3359,3446,3755,3795,4213,4981,8065
5327,17 May 2025,false,6660,9386,5996,0029,0056,1047,2261,2622,5204,6471,6815,9177,9966,0678,0835,0860,5002,6030,6129,7000,7109,7724,8788
5326,14 May 2025,false,8283,7619,8144,3087,5092,6501,7111,7231,7244,7610,8997,9384,9926,0493,1808,5407,5561,7314,7336,7792,8913,8983,9134
5325,11 May 2025,false,8947,8881,0194,0864,1356,1661,2110,2711,2934,3620,5629,7061,8371,4874,6038,6298,6743,6797,7394,8187,8607,8936,9056
5324,10 May 2025,false,0050,0679,3278,0524,0661,1085,1651,2018,2714,7565,9465,9661,9920,0806,3325,3879,3886,3998,4727,5114,9442,9534,9830
5323,07 May 2025,true,2092,5603,4937,0045,0175,0680,1155,1275,5243,7199,8678,9523,9551,0047,0872,1218,3513,4091,4270,4900,8128,8623,9849
5322,04 May 2025,false,5507,5251,5717,0390,0976,2758,3132,3312,6004,7399,8582,8993,9359,1144,3240,3289,3303,3364,3438,5395,6150,6546,9695
5321,03 May 2025,false,6996,8840,9046,0381,2355,3189,4142,4349,5715,7056,7342,7575,8902,1763,2669,3892,5394,6145,6281,6520,8346,8425,8497
5320,30 Apr 2025,false,4655,3294,2170,0396,1170,2740,4107,6364,6369,7582,8643,9477,9630,0382,1137,1587,1998,2589,5652,7466,8157,8680,8744
5319,27 Apr 2025,false,4707,8324,5641,0019,2465,3523,5337,5845,6851,7694,8139,8427,9617,0573,1946,1955,2990,3221,3314,4285,5088,5465,8129
5318,26 Apr 2025,false,0990,7327,0507,0663,1482,1732,2689,4915,6260,8055,8653,9034,9496,0244,1411,3286,6092,6884,6989,7214,7398,8482,9988
5317,23 Apr 2025,false,4045,3916,5321,0151,0564,1148,1694,3702,5240,5624,5701,6788,7800,0080,1188,1853,2292,3070,3900,6374,9132,9191,9522
5316,20 Apr 2025,false,7422,8123,0107,2930,3392,4359,5557,6744,7640,8497,9007,9135,9146,0303,0376,0817,1145,2024,2960,3991,4573,5319,8217
5315,19 Apr 2025,false,8119,2405,8375,2037,3014,3245,3641,4239,4452,5462,5523,7603,7946,3027,4327,4876,5317,6034,7232,8452,8922,9480,9943
5314,16 Apr 2025,false,0193,5005,3069,1564,2055,2071,2929,3770,4270,4309,5757,6647,9828,1343,2125,4683,4719,4734,6695,7539,8970,9317,9822
5313,13 Apr 2025,false,5891,9375,4156,1914,4304,4717,4991,5044,6160,6625,7054,7955,9548,0625,2759,3431,3438,4364,5301,7032,7974,9277,9726
5312,12 Apr 2025,false,1564,3920,8992,4365,4561,5397,5623,5689,6326,7091,8868,9547,9567,0198,0828,2425,6387,7396,7481,7622,8127,9820,9924
5311,09 Apr 2025,false,8057,5467,0282,0095,0204,1402,2687,4792,5422,5893,6974,7683,8187,0078,0220,0278,0566,2383,2934,3784,5239,5452,6689
5310,06 Apr 2025,false,1546,0140,0556,0874,1360,2179,2708,5032,5641,7608,7777,8075,9882,1397,4381,6594,6938,7068,7548,7895,9086,9323,9792
5309,05 Apr 2025,false,1815,1666,3172,0146,1136,2516,2715,3828,8002,8870,8923,9714,9953,0876,1080,2206,2769,2804,2819,3771,5753,7278,9195
5308,02 Apr 2025,true,3567,7225,5163,2256,3527,3627,4059,4678,5022,5456,6550,9332,9645,0416,1615,3711,3986,4153,5214,5424,5931,6926,9577
5307,30 Mar 2025,false,8748,4642,9739,0393,0739,1360,1997,2117,2903,2924,6829,7940,9736,0958,1266,3969,4896,7107,7401,7983,9252,9674,9681
5306,29 Mar 2025,false,8682,4710,7398,1234,2168,2257,3961,3961,4520,4596,5244,8675,9616,0233,0856,4084,4987,8053,8524,8851,9324,9420,9945
5305,26 Mar 2025,false,3468,6375,6628,1482,3005,3279,3815,4628,6111,6310,7065,7076,7791,0374,0612,2660,4205,4899,7033,7455,9063,9104,9270
5304,23 Mar 2025,false,4111,4035,4379,0188,2497,2540,3417,3499,4630,5310,5792,6843,9644,0342,0695,1197,1597,2372,5131,5455,6645,8785,9518
5303,22 Mar 2025,false,4720,3674,2512,1386,2672,5821,6284,7053,7162,7273,7940,8831,9858,0313,2715,3446,3473,3859,5801,6056,6131,6684,8181
5302,19 Mar 2025,false,9325,7058,4913,1010,2545,3682,5016,5548,6903,6913,7590,7963,9802,0485,0643,1469,2402,3044,3985,7738,8934,9095,9277
5301,16 Mar 2025,false,9373,0187,3916,1054,1186,1350,1368,1849,4784,5676,6666,6924,7986,0409,0556,0876,1956,2756,2966,5546,6558,6906,8448
5300,15 Mar 2025,false,5540,8299,4260,0988,1900,1932,2886,5847,6316,7320,7326,8778,9014,0437,1731,3052,3659,6049,7195,8231,8947,9075,9128
5299,12 Mar 2025,false,6376,3368,8541,0156,0603,2870,3027,3312,4619,5955,6057,8123,8705,0797,3162,3356,3801,3972,5214,5978,6562,9718,9980
5298,09 Mar 2025,false,4657,6399,0032,0313,0834,3485,4094,5337,6828,7279,8439,9171,9595,0564,2069,2295,3144,4532,4587,5228,8376,9251,9256
5297,08 Mar 2025,false,0948,7694,0662,0478,0638,2196,5925,6309,6673,7146,7778,8460,9120,1202,1798,2153,2794,4186,6128,7260,7669,7864,8700
5296,05 Mar 2025,true,8680,2387,3277,0298,1521,2491,4107,5097,5545,6207,6626,7630,9757,0505,2523,3480,3488,4234,4973,5192,6261,6351,9704
5295,02 Mar 2025,false,7538,7890,5247,1651,2910,3136,3405,5117,6802,7011,7316,8198,9084,3645,4843,5468,5707,6244,8047,8425,8993,9223,9923
5294,01 Mar 2025,false,5946,3571,3194,0046,1118,3311,3344,4122,4617,4944,5558,6560,8773,0745,1950,4859,5560,6911,6915,6944,7582,8328,9287
5293,26 Feb 2025,false,5404,1956,9746,0567,1079,1403,2904,3551,4952,5339,5436,6861,9233,0058,1859,1874,2718,2941,4797,6372,7649,9380,9873
5292,23 Feb 2025,false,6666,3874,4593,0235,1081,1414,2238,2415,2607,3038,6260,7755,9773,0000,0025,1399,3220,3855,3890,4042,5887,6465,8456
5291,22 Feb 2025,false,7325,8407,3834,2041,3433,5917,6203,6752,7796,8471,9336,9675,9848,0458,0528,0657,0849,2610,6285,6335,9099,9306,9585
5290,19 Feb 2025,false,3419,0080,7394,1336,1435,3251,5170,5762,6780,7524,7692,8718,9246,1696,2124,2337,3946,3946,4936,5086,6444,7291,7886
5289,16 Feb 2025,false,7539,3829,4143,0557,2169,3985,4297,4539,6784,7117,7610,9950,9995,0240,1330,1940,4525,4526,4984,6634,7178,7912,8010
5288,15 Feb 2025,false,9899,6464,0266,0531,2858,6433,7097,7350,8019,9576,9621,9713,9863,0181,1207,1257,1683,2262,6918,7233,8308,9347,9479
5287,12 Feb 2025,false,7164,8545,2992,0958,1771,3283,4874,7191,8025,8025,8159,9478,9977,0930,3118,4107,6175,7494,8858,8874,9199,9435,9787
5286,09 Feb 2025,false,3388,2867,0858,0954,1336,2243,3991,4480,5542,5697,5754,7660,8783,0243,1175,2981,4353,6992,7061,8687,8740,9060,9795
5285,08 Feb 2025,false,9285,0822,4720,3093,3687,3924,5068,5593,6792,7283,8922,9643,9778,2132,3091,4134,4868,5831,6298,6548,8792,9188,9775
5284,05 Feb 2025,true,2079,2646,2294,0717,3217,3995,5488,5738,5879,6165,8277,8811,8874,0173,1101,3761,5558,5566,6261,6718,6990,9154,9651
5283,02 Feb 2025,false,9800,3238,1841,0593,1427,4452,4839,6212,6497,7006,7099,8304,8451,1234,1614,2146,2170,3594,3883,4180,4538,6302,8374
5282,01 Feb 2025,false,8383,9894,1152,1216,1544,1604,2508,2897,3131,6478,6714,7633,9528,0669,0740,1327,3653,4576,4909,6259,7654,7939,8457
5281,29 Jan 2025,false,0733,1828,1971,3306,3440,3748,4146,5031,6942,7485,7546,8938,9371,0083,1852,5165,5803,6586,6727,7173,7990,9218,9772
5280,26 Jan 2025,false,2782,4941,9626,2290,2409,2980,3633,3654,4444,6098,6351,6619,6937,2865,3455,3969,4299,4531,5468,6949,7004,7640,8737
5279,25 Jan 2025,false,1222,1689,8970,0470,0610,2123,2350,2605,3536,5082,6903,8102,9332,1471,1891,2100,4495,6113,7002,8353,9359,9557,9676
5278,22 Jan 2025,false,5416,8670,6258,0281,0313,0583,1735,3741,5216,5221,6698,7947,9441,0760,1609,1946,2607,3184,6621,6714,6917,8094,8456
5277,19 Jan 2025,false,3891,4872,3306,1536,2038,3592,3865,5012,6748,8938,8960,9172,9914,0489,2531,3357,5541,6239,6450,6878,7047,8437,8888
5276,18 Jan 2025,false,9858,6562,2327,0010,3507,3966,4042,4907,5042,5558,5818,7244,9952,0408,2108,2307,3454,3547,5941,6293,7443,8127,8699
5275,15 Jan 2025,false,5832,8143,4606,0750,0840,1698,3701,5173,5456,6066,6614,7359,7920,1565,2586,2894,3405,4284,4368,4906,5604,6279,7373
5274,12 Jan 2025,false,8504,1766,6864,0303,0399,1345,6380,6435,7499,7910,9304,9480,9814,0485,1044,1450,2501,3307,5126,6383,7714,9070,9811
5273,11 Jan 2025,false,5263,0328,6401,0038,0636,1204,1437,3859,4372,4767,5349,5643,9867,1595,2703,2759,3841,3898,3909,7653,7875,8832,9841
5272,08 Jan 2025,false,8975,1787,1566,1604,1714,1812,1841,2719,4068,6300,6797,7157,8151,0875,1813,4050,4754,6292,6952,8296,8831,9291,9818
5271,05 Jan 2025,false,5256,5975,1936,0392,1147,2171,2793,4441,5954,6376,7187,7473,9906,0218,4263,4669,5863,6426,7908,8028,8372,8859,9238
5270,04 Jan 2025,false,2679,3800,0842,1809,3060,4764,5691,5699,6969,8042,8477,8646,8796,1348,2190,6706,6963,7541,7784,8874,9497,9499,9685
5269,01 Jan 2025,true,7293,4559,5619,0199,0247,0563,2512,4229,5390,6400,9239,9313,9654,1334,1493,2553,3223,4089,5861,6297,6465,6661,8504
5268,29 Dec 2024,false,6777,2996,7843,2445,2721,2867,3278,4077,4434,4822,8337,8468,8941,1038,1376,2885,3319,3530,4072,6877,7190,8465,9355
5267,28 Dec 2024,false,0175,4689,4351,0791,1710,3190,3254,3379,3882,4346,4932,6895,7674,0477,0823,1324,2299,2517,4244,7174,7594,9167,9880
5266,25 Dec 2024,false,5374,0228,7064,1711,2845,3220,5117,5381,6447,7601,7879,8891,9373,0310,1810,3292,3774,4083,4318,4356,6665,7094,7411
5265,22 Dec 2024,false,5497,7616,1705,1023,1216,2567,2734,3096,6124,6927,7147,7733,7985,0475,0503,0508,1017,1517,7238,8541,8893,9267,9390
5264,21 Dec 2024,false,3259,8846,2415,3343,3511,3720,4905,6184,6401,6666,6750,6875,9952,0059,0621,1002,1030,1947,3482,5065,7199,9244,9472
5263,18 Dec 2024,false,9581,2781,5818,1382,1817,2887,3106,3453,4692,5038,6780,6992,8272,0056,0279,0621,3299,3773,4802,6124,6890,6953,9882
5262,15 Dec 2024,false,1599,3705,1014,0759,4229,4813,5748,6075,6314,7171,8011,8566,8827,1392,2997,3324,3350,3709,4749,5311,6352,6711,9576
5261,14 Dec 2024,false,2700,1324,3471,1323,1766,2689,3022,4298,6322,6388,7671,8401,8502,0833,1524,2334,2751,4037,4454,4739,6815,8254,9624
5260,11 Dec 2024,false,0841,4422,9561,1232,3254,4744,5040,8070,8430,9104,9657,9662,9913,4100,4613,4863,5642,5763,6452,7832,8186,8410,8820
5259,08 Dec 2024,false,3239,9357,6485,0404,1430,2377,5854,6841,7393,7532,9173,9187,9584,0407,0440,1721,2144,2212,4808,7537,8051,8231,8412
5258,07 Dec 2024,false,5929,9039,5600,0172,0929,1197,1991,2629,4284,4999,5758,5959,7060,1495,3699,3860,4400,4640,4841,6262,7088,7922,9692
5257,04 Dec 2024,true,9053,4455,5520,0660,4356,4653,5681,6126,6331,6455,8154,9693,9933,1711,2087,2258,2827,4476,5058,6067,7131,9668,9901
5256,01 Dec 2024,false,8682,2288,4656,2420,2783,2790,2841,3689,3736,3753,7251,7774,9189,0514,3526,3586,7660,7746,7990,8509,9889,9921,9935
5255,30 Nov 2024,false,4625,2729,9950,0111,0644,1400,4194,4630,5069,5464,7735,8664,9417,1530,1627,2622,3128,4023,5431,6701,6891,7087,9222
5254,27 Nov 2024,false,5217,1575,1918,0370,1340,3155,4681,7116,7550,8582,8831,9286,9340,0041,1365,1850,5029,5125,5307,5575,5999,7570,8796
5253,24 Nov 2024,false,5392,7225,2588,2402,2942,3567,3609,5212,5640,7019,7288,7866,8361,0172,0237,1490,1708,4546,7383,7729,8006,8363,9046
5252,23 Nov 2024,false,4823,6725,5985,0247,1696,2763,3185,3190,3414,4734,6725,8027,9623,0732,1407,2488,2841,4114,4553,5012,7837,8233,9682
5251,20 Nov 2024,false,3256,0000,4930,0262,0732,3688,4315,5324,5574,6207,7058,7737,8839,3868,5719,6044,6231,6470,7793,7906,8470,9038,9859
5250,17 Nov 2024,false,7571,4676,2678,1691,1705,2374,3127,3702,5814,7296,7422,8520,9290,1199,1245,2037,2652,2758,4921,5881,6755,7344,9937
5249,16 Nov 2024,false,8078,4966,7131,0313,1629,1917,2876,2892,6991,7615,7643,7746,8750,1175,1505,2689,2757,3449,4087,4528,4552,7542,8858
5248,13 Nov 2024,false,9133,9091,7173,0974,1284,2550,3766,4517,5748,6353,6841,7550,9329,0599,0994,1323,1428,4220,4828,6417,6608,9205,9624
5247,10 Nov 2024,false,4223,2758,8589,0663,0675,1313,1932,2112,2194,4876,6699,7024,7321,0081,1181,1256,3507,5570,6691,8201,8287,9268,9460
5246,09 Nov 2024,false,1783,5841,1718,1454,2196,2374,3106,5565,5655,5991,6328,7090,8211,2355,3932,4047,4559,4820,5133,5185,7298,8385,9364
5245,06 Nov 2024,true,0119,5171,1008,1161,1228,2988,4706,4903,5169,7044,7258,9376,9395,0014,0620,1047,2764,2888,5154,5720,6062,6454,9819
5244,03 Nov 2024,false,0740,2551,4801,0467,0624,2470,3191,3541,5192,6323,6744,6778,7798,0630,1770,1998,3390,4185,4369,4373,5175,5686,8312
5243,02 Nov 2024,false,7689,0978,7973,0524,1061,1354,4602,4673,7269,7825,8671,9068,9645,0121,1821,2405,2804,3038,3103,6606,7555,7768,9236
5242,30 Oct 2024,false,1645,7650,2242,2005,2895,3470,3904,4145,5764,7204,8790,9480,9536,0433,2073,3103,4007,4975,6128,7682,8493,8815,9772
5241,27 Oct 2024,false,1463,3571,4094,0379,0389,0807,1900,2197,2709,2759,4813,6017,7806,0260,0518,1706,2813,3399,6237,6397,6484,7593,9617
5240,26 Oct 2024,false,9688,9749,8611,0121,0416,0800,3204,4351,4858,5019,6819,6852,9160,0083,2498,3089,4057,5850,6699,6883,7100,7129,8636
5239,23 Oct 2024,false,4023,7066,8724,0298,0434,0851,1523,1594,2179,7360,7518,7985,8160,0243,1816,2131,5053,5731,5929,5962,6294,6336,7061
5238,20 Oct 2024,false,4637,9667,0615,0291,0951,1657,3617,5124,6649,7719,8721,9188,9555,0363,0594,0629,2411,3633,5089,6817,8262,9141,9803
5237,19 Oct 2024,false,2969,9523,8081,1094,1666,2017,2360,2828,3300,4224,6226,6793,9581,0826,2945,3473,3657,4069,4398,5237,6429,7728,9643
5236,16 Oct 2024,false,8333,8261,2120,0151,0217,2321,3235,3492,4007,6166,6229,7462,8195,0049,1049,1699,2354,2914,4892,7355,8766,8993,9092
5235,13 Oct 2024,false,6315,6456,9641,0390,2875,4365,4622,5353,6399,6404,8400,9043,9883,1402,1454,1635,2281,3009,3091,4136,5654,9197,9648
5234,12 Oct 2024,false,7488,6470,5723,1306,1395,2126,2241,2751,5601,5842,7930,8531,8711,0141,0334,2471,3265,4756,4959,6378,8773,9378,9661
5233,09 Oct 2024,false,2920,8195,9087,0538,1289,2313,3079,5147,7751,8579,8734,8780,8792,0290,1528,1757,2157,5612,7896,8656,8691,8844,8923
5232,06 Oct 2024,false,8359,1759,4418,0123,1134,2636,3994,4793,5051,6978,8830,9732,9840,1163,2884,3278,3353,4830,4986,6579,6831,7539,9613
5231,05 Oct 2024,false,6821,8502,6941,1780,2843,3781,4113,5623,5923,6159,7630,7645,8578,2312,2936,3181,3818,3835,3852,4473,4693,6022,9712
5230,02 Oct 2024,true,6604,4181,1815,0477,1540,1974,2569,3272,4216,5154,5531,8691,8767,2436,3704,4313,5221,5454,5593,7429,7840,8391,9001
5229,29 Sep 2024,false,2286,6281,0219,1104,2759,3059,5665,5794,6366,6803,7042,8151,9354,0398,1359,2705,3563,3830,6235,7631,8322,8424,8890
5228,28 Sep 2024,false,1672,9272,1800,0514,0591,3819,3827,5513,5720,6737,6923,8759,9049,0242,1689,2294,2672,4215,4711,4842,6065,6114,7332
5227,25 Sep 2024,false,2769,6890,7433,0581,0655,1163,2330,3327,3663,4306,4950,5768,9990,2084,2557,3419,6289,6500,6615,6710,7035,7693,8627
5226,22 Sep 2024,false,4317,3438,0614,0414,1052,1403,2139,3331,3407,4513,7002,7596,8679,0321,5965,7565,7715,7861,8144,8352,8920,9062,9292
5225,21 Sep 2024,false,7954,4691,9266,0262,0385,1213,2451,3248,3616,5733,6778,8491,8805,0411,0880,2733,3911,4203,4769,5782,6622,7980,9911
5224,18 Sep 2024,false,6553,2080,1245,0880,0992,3050,3067,3297,3876,5770,5905,6146,7052,0490,1732,2118,3121,4180,5384,7726,7993,8057,8323
5223,15 Sep 2024,false,8198,1300,0630,0660,1038,3438,3590,3677,4521,5030,5402,7545,7596,1134,3022,4514,6393,6978,7158,8167,8987,9083,9459
5222,14 Sep 2024,false,1538,3273,8184,0287,0740,0883,2576,4789,4794,4816,5035,8960,9880,0467,4087,4579,5771,7385,8033,8747,9201,9598,9915
5221,11 Sep 2024,false,0630,8404,1577,0691,1534,1852,2015,3178,3689,4227,7143,8224,9205,1030,2204,2774,4973,5325,6256,6651,8315,8647,8734
5220,08 Sep 2024,false,2073,0137,8645,0428,1890,2865,2960,3433,8518,8723,8965,9395,9405,0386,1330,1819,3173,3823,3902,4753,5105,5956,9575
5219,07 Sep 2024,false,8871,4758,9681,0028,1784,4404,4923,5295,6428,7399,8123,9053,9860,0179,2451,3138,3613,5822,6103,7082,8404,9777,9866
5218,04 Sep 2024,true,1733,8861,0358,1308,2128,4506,4769,6724,6994,7558,8020,8337,9273,1394,1919,2298,2581,3016,3789,5622,5635,7036,8395
5217,01 Sep 2024,false,9723,6357,0860,0809,1768,2696,4144,4572,5872,7120,7181,7944,8632,0282,1713,2024,2245,2893,3225,4458,6805,7245,9008
5216,31 Aug 2024,false,2853,1794,7477,1286,1339,2920,3663,4091,4566,5451,5535,9009,9019,0081,2321,3219,5352,6603,6823,7568,7977,8972,9165
5215,28 Aug 2024,false,8055,6931,6250,0642,1112,1147,2426,3578,4954,4984,5185,5937,7312,0342,2112,4479,6290,7174,7868,7955,8099,8530,9595
5214,25 Aug 2024,false,7675,2653,5207,0290,1813,3319,3448,4212,4686,4731,5566,7435,9880,0220,1033,2659,3087,4842,5480,6238,6822,7058,7544
5213,24 Aug 2024,false,4608,3903,9194,0471,1302,1753,3479,4734,4745,6330,6668,7124,7865,0561,2203,3019,4306,6314,6435,7282,8373,9144,9991
5212,21 Aug 2024,false,8294,1207,2020,3153,4393,5374,5606,5850,5938,7376,7596,7865,9943,1084,1211,1369,1880,2818,3894,4046,5043,5754,7194
5211,18 Aug 2024,false,0149,0638,0622,1476,2506,3828,4238,4445,4711,6306,6591,7786,8015,1557,2129,2355,2451,4756,6848,7488,9000,9241,9369
5210,17 Aug 2024,false,7577,2978,5568,1753,1936,2709,2982,5468,6716,6992,7232,8460,8916,0391,1141,2506,2901,4245,4720,5927,6991,9083,9281
5209,14 Aug 2024,false,5746,9175,8398,0043,1757,3412,3801,4782,5840,6415,7120,9338,9446,0410,0815,0905,1686,2806,2988,7879,9037,9411,9537
5208,11 Aug 2024,false,8609,6340,3601,1016,1876,5577,5722,6944,7147,7221,7508,7528,7804,1555,3284,3374,3549,3643,4432,6145,6429,9404,9806
5207,10 Aug 2024,false,2433,3577,3700,2596,2724,4000,4214,5326,6922,8093,9189,9489,9520,1091,1974,2115,2831,5154,8372,8499,8783,8853,9448
5206,07 Aug 2024,true,8695,9973,2885,0453,0638,1057,3005,3448,4495,5418,5719,7151,7706,0259,1762,2774,4219,4348,4917,6672,7791,9089,9613
5205,04 Aug 2024,false,8324,3781,6467,0584,1181,2004,2967,3027,4897,5843,8481,8947,9287,0084,2388,4353,6019,6131,6947,7663,7988,8314,9976
5204,03 Aug 2024,false,7015,7974,1353,2549,2918,3349,3490,4032,4662,5103,6762,7514,9097,0992,3892,3985,4190,4450,7860,8363,8576,9441,9704
5203,31 Jul 2024,false,8241,4135,2014,1349,1693,1736,3686,3987,3999,4777,5663,6297,9185,4611,5102,5167,5712,5986,7036,7159,8299,8376,8491
5202,28 Jul 2024,false,6111,1992,6419,2545,2774,2980,3572,3624,5334,7047,7137,7814,8591,0454,1745,3426,3980,4352,4744,6065,6815,7618,9029
5201,27 Jul 2024,false,6318,6485,0488,1628,2070,2377,4010,4262,4496,4544,6963,9164,9502,1234,1593,1704,3005,3431,4524,6723,8508,8592,9812
5200,24 Jul 2024,false,7977,2339,8517,1918,2137,2348,2602,5914,6591,7370,8454,8726,9569,0549,1275,1580,2795,5064,6771,6990,7223,9625,9719
5199,21 Jul 2024,false,7623,2908,9327,0008,0913,2451,5346,6233,7149,7274,7510,7655,8765,0127,0690,1101,1164,1535,5178,5704,7051,7453,9553
5198,20 Jul 2024,false,9926,3958,0647,0361,1193,1542,3528,4019,5977,6900,7896,9244,9303,0103,0426,2159,5016,5611,5957,7556,7949,9284,9464
5197,17 Jul 2024,false,5937,7864,7165,0330,0744,1470,4301,4664,5370,5835,7660,8962,9220,0469,0617,1227,2486,2771,4028,4611,7027,8413,9333
5196,14 Jul 2024,false,1986,6901,5479,0622,1080,1361,3009,3085,3850,4376,4720,4985,9508,0253,2511,2545,2736,2795,3493,3692,4239,6474,7305
5195,13 Jul 2024,false,1487,1381,0636,0650,1423,1610,1616,2354,3471,3824,7033,7929,9387,0690,0761,0847,1367,1745,2595,2670,5061,6022,8536
